"rank","tool_name","intro"
"30","指引天使／引路天使","它可以告訴你最好的路，不至於在路上出意外。"
"29","雲朵凝固瓦斯／凝雲噴霧","使用這個瓦斯的話，雲會凝固，變得可以奔走在雲上。"
"28","交換繩","兩人同時握住繩索的話，心還是一樣，但身體替換。"
"27","室內旅行機","可以顯示出各種地點的立體影像，但室內面積並不會隨之更動。會讓自己的家有旅行的味道。"
"26","落難神明／天神機械人","是一個難看老機器人。不過，幫助他的話，可以滿足3個請求。"
"25","夢風鈴","使用這個風鈴，就可以將睡覺的人叫起來(他們是夢遊狀態)，並且任憑差遣。"
"24","ＮＳ徽章／南北極徽章","只要將自己與另外一個人貼上寫有「Ｎ」或「Ｓ」的徽章，就會變的像磁鐵一樣，同極相斥，異極相吸。"
"23","阿拉丁神燈","擦拭油燈的話，冒煙的機器人就會出現，不管什麼命令都聽。"
"22","間諜工具組合／間諜套裝","能用監視器看間諜人偶的「麥克風」和「」偵察的影像。"
"21","聲音糖果／聲音糖","只要利用這個錄製聲音，再給別人吃下去以後， 就可以得到被錄製聲音的特徵。"
"20","進化退化放射線槍／進化退化光線槍","被這光照射到，動物就可以進化(或是退化)。"
"19","夢境電視／顯夢電視","能除去別人看的夢的電視。"
"18","算了算了棒／算啦棒","用這個棒子將正在生氣的人的嘴巴堵住，並說「算了，算了」，那人氣就消了。"
"17","助興樂團／增加氣氛樂團","這兩個道具都是人型玩偶，都會播放音樂，讓氣氛變好；不同的是，只要讓小型插秧姑娘唱歌，就可以快速地完成插秧。"
"16","四次元口袋／四度空間百寶袋","哆啦A夢的道具都是放在這裡面的。四次元空間是個沒有大小的空間，要多大有多大。"
"15","美食桌巾／美食枱布","它可以幫你做出好吃的料理。無論甚麼料理都可以變出來。"
"14","邱比特之箭／愛神之箭","被箭射中的人，會對射箭的人產生好感。"
"13","感動麥克風／感動擴音器","使用這個麥克風，發出的聲音就會讓人感動不已。"
"12","桃太郎丸子／桃太郎飯糰","讓動物吃下，他會對你言聽計從。"
"11","樵夫之泉／樵夫水池","把東西丟到這個泉裡，女神就會出現。如果你說了實話，他就會給你一個更好、更新的東西。"
"10","更衣照相機／換衫相機","選擇合適的衣服，拍攝一下馬上就能穿在身上。"
"9","穿透環／穿牆圈","可以穿過任何障礙。"
"8","如果電話亭","「如果這個世界是……」只要這樣對著話筒說話，就可以創造出你所說出的世界。但是當取消時，世界將會變成「平行世界」，雙方沒有瓜葛。"
"7","翻譯蒟蒻／翻譯糕","吃了這個蒟蒻，任何人說的任何話，我們都可以聽懂、而且可以溝通。"
"6","縮小燈／縮小電筒","被光照射到，東西會變小。"
"5","記憶麵包","學生們應該會特別喜歡這道具吧！這也是為什麼它能排到第五名的重要原因！只要吃下這個吐司，就能非常容易的記住事前寫在吐司上的事物。"
"4","時光布／時間布","這個時光包巾位列第四，因為它的功用實在太大了，包了的東西既可以變新，也可以變舊。"
"3","竹蜻蜓","雖然很委屈的排到第 3 名，但是卻是最常被哆啦A夢使用的道具！在一開始便已登場。只要把它放置在身體任何部分，就可依自己意思在天空中翱翔。內藏超小型電池，可時速 80 公里連續飛行 8 小時。若是間斷飛行，還可撐更久！"
"2","時光機","長 2.2 公尺，寬 1.6 公尺，高 1.28 公尺，重 538 公斤。除了時間移動之外，它也可以用來空間與空間間的互相移動。其實前面這三個名次，也就是哆啦A夢最常使用的三個道具，不過是名次調換而已。"
"1","任意門／隨意門","最受眾人喜愛，光榮的第一名是由「任意門」獲得！只要心中想著想去的地點，電腦就會傳達並歪曲所在地與目的地間的空間而將兩地靠攏，跨過門就可以到達。但是不能去距離十光年以上的行星，或者是電腦地圖上沒有的地區。是很常用的道具，使用率位列第三，僅次於竹蜻蜓、時光機。"
